,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,eng_speakers,line,accent
22,20.0,8.0,ghana,./datasets/accent_archive/recordings/ga6.wav,ga,female,2122,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ga
23,25.0,12.0,ghana,./datasets/accent_archive/recordings/twi1.wav,twi,female,388,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,twi
24,33.0,6.0,ghana,./datasets/accent_archive/recordings/twi2.wav,twi,male,389,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,twi
25,22.0,6.0,ghana,./datasets/accent_archive/recordings/twi4.wav,twi,female,1779,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,twi
26,20.0,4.0,ghana,./datasets/accent_archive/recordings/twi6.wav,twi,male,2138,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,twi
27,37.0,32.0,morocco,./datasets/accent_archive/recordings/amazigh1.wav,amazigh,male,601,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,amazigh
28,39.0,16.0,morocco,./datasets/accent_archive/recordings/amazigh2.wav,amazigh,male,1498,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,amazigh
29,22.0,16.0,morocco,./datasets/accent_archive/recordings/arabic16.wav,arabic,male,471,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
30,35.0,15.0,morocco,./datasets/accent_archive/recordings/arabic17.wav,arabic,male,512,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
31,43.0,18.0,morocco,./datasets/accent_archive/recordings/arabic19.wav,arabic,male,625,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
32,19.0,15.0,morocco,./datasets/accent_archive/recordings/arabic5.wav,arabic,female,19,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
33,36.0,17.0,morocco,./datasets/accent_archive/recordings/arabic53.wav,arabic,male,1526,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
34,18.0,15.0,morocco,./datasets/accent_archive/recordings/arabic7.wav,arabic,female,21,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
35,47.0,16.0,morocco,./datasets/accent_archive/recordings/arabic70.wav,arabic,male,1827,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
36,21.0,17.0,morocco,./datasets/accent_archive/recordings/arabic8.wav,arabic,male,22,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
37,62.0,12.0,morocco,./datasets/accent_archive/recordings/french55.wav,french,female,1889,morocco,14.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,french
38,26.0,5.0,egypt,./datasets/accent_archive/recordings/arabic10.wav,arabic,male,12,egypt,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
39,42.0,13.0,egypt,./datasets/accent_archive/recordings/arabic23.wav,arabic,male,927,egypt,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
40,40.0,7.0,egypt,./datasets/accent_archive/recordings/arabic24.wav,arabic,male,970,egypt,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
41,60.0,14.0,egypt,./datasets/accent_archive/recordings/arabic60.wav,arabic,male,1711,egypt,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
42,18.0,4.0,egypt,./datasets/accent_archive/recordings/arabic74.wav,arabic,male,1870,egypt,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
43,28.0,3.0,egypt,./datasets/accent_archive/recordings/arabic86.wav,arabic,male,1964,egypt,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
44,40.0,10.0,lebanon,./datasets/accent_archive/recordings/arabic100.wav,arabic,female,2159,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
45,25.0,15.0,lebanon,./datasets/accent_archive/recordings/arabic13.wav,arabic,male,15,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
46,36.0,12.0,lebanon,./datasets/accent_archive/recordings/arabic20.wav,arabic,male,643,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
47,46.0,30.0,lebanon,./datasets/accent_archive/recordings/arabic21.wav,arabic,female,670,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
48,29.0,8.0,lebanon,./datasets/accent_archive/recordings/arabic43.wav,arabic,female,1426,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
49,70.0,33.0,lebanon,./datasets/accent_archive/recordings/arabic55.wav,arabic,male,1569,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
50,28.0,17.0,lebanon,./datasets/accent_archive/recordings/arabic57.wav,arabic,female,1699,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
51,19.0,4.0,lebanon,./datasets/accent_archive/recordings/arabic88.wav,arabic,female,2008,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
52,50.0,0.0,lebanon,./datasets/accent_archive/recordings/english505.wav,english,female,1798,lebanon,40.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,english
53,32.0,11.0,iraq,./datasets/accent_archive/recordings/arabic12.wav,arabic,male,14,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
54,47.0,12.0,iraq,./datasets/accent_archive/recordings/arabic31.wav,arabic,female,1181,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
55,42.0,12.0,iraq,./datasets/accent_archive/recordings/arabic32.wav,arabic,male,1203,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
56,28.0,11.0,iraq,./datasets/accent_archive/recordings/arabic33.wav,arabic,female,1204,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
57,22.0,7.0,iraq,./datasets/accent_archive/recordings/arabic54.wav,arabic,male,1565,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
58,34.0,9.0,iraq,./datasets/accent_archive/recordings/arabic58.wav,arabic,male,1700,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
59,43.0,22.0,iraq,./datasets/accent_archive/recordings/arabic67.wav,arabic,male,1785,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
60,20.0,11.0,iraq,./datasets/accent_archive/recordings/arabic72.wav,arabic,female,1832,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
61,35.0,19.0,iraq,./datasets/accent_archive/recordings/arabic89.wav,arabic,female,2022,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
62,36.0,10.0,iraq,./datasets/accent_archive/recordings/arabic92.wav,arabic,male,2087,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
63,27.0,10.0,iraq,./datasets/accent_archive/recordings/arabic93.wav,arabic,female,2112,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
64,41.0,5.0,iraq,./datasets/accent_archive/recordings/chaldean1.wav,chaldean,male,1251,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,chaldean
65,62.0,11.0,iraq,./datasets/accent_archive/recordings/chaldean2.wav,chaldean,female,1299,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,chaldean
66,24.0,15.0,iraq,./datasets/accent_archive/recordings/kurdish1.wav,kurdish,male,246,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
67,37.0,30.0,iraq,./datasets/accent_archive/recordings/kurdish10.wav,kurdish,male,1767,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
68,50.0,10.0,iraq,./datasets/accent_archive/recordings/kurdish2.wav,kurdish,male,669,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
69,33.0,12.0,iraq,./datasets/accent_archive/recordings/kurdish3.wav,kurdish,female,809,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
70,30.0,9.0,iraq,./datasets/accent_archive/recordings/kurdish4.wav,kurdish,male,1098,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
71,32.0,11.0,iraq,./datasets/accent_archive/recordings/kurdish5.wav,kurdish,male,1180,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
72,57.0,11.0,iraq,./datasets/accent_archive/recordings/kurdish6.wav,kurdish,female,1197,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
73,55.0,39.0,iraq,./datasets/accent_archive/recordings/kurdish8.wav,kurdish,female,1731,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
74,57.0,40.0,iraq,./datasets/accent_archive/recordings/kurdish9.wav,kurdish,male,1766,iraq,35.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,kurdish
75,47.0,11.0,jordan,./datasets/accent_archive/recordings/arabic14.wav,arabic,male,428,jordan,45.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
76,43.0,14.0,jordan,./datasets/accent_archive/recordings/arabic26.wav,arabic,female,1012,jordan,45.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
77,55.0,9.0,jordan,./datasets/accent_archive/recordings/arabic59.wav,arabic,male,1702,jordan,45.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
78,70.0,10.0,israel,./datasets/accent_archive/recordings/arabic27.wav,arabic,male,1013,israel,84.97,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,arabic
